created_at,created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,>=0.3um/dl,>=0.5um/dl,>1.0um/dl,>=2.5um/dl,>=5.0um/dl,>=10.0um/dl,PM1.0_ATM_ug/m3,PM10_ATM_ug/m3
2018-11-10 06:00:00+00:00,2018-11-10 06:00:00+00:00,0.39,0.7,1.04,20.0,-57.48,75.43,40.78,0.7,260.2,65.92,8.17,1.51,0.69,0.32,0.69,0.32
2018-11-11 00:00:00+00:00,2018-11-11 00:00:00+00:00,3.59,4.74,5.41,8.11,-41.00333333333334,80.0,44.0,4.74,908.09,231.47,22.58,2.89,1.0,0.29,3.61,5.41
2018-11-12 00:00:00+00:00,2018-11-12 00:00:00+00:00,0.09,0.14,0.26,227.0,-50.58,85.98,37.6,0.14,184.29,38.49,3.5,0.67,0.38,0.32,0.09,0.26
2018-11-13 00:00:00+00:00,2018-11-13 00:00:00+00:00,2.48,2.64,2.98,279.0,-50.36,86.18,33.33,2.64,1019.94,198.0,5.11,1.24,0.64,0.34,2.48,2.98
2018-11-14 00:00:00+00:00,2018-11-14 00:00:00+00:00,2.02,3.28,4.39,614.89,-49.98,76.89,63.11,3.28,550.78,158.95,22.4,4.26,1.64,0.51,2.01,4.36
2018-11-15 00:00:00+00:00,2018-11-15 00:00:00+00:00,3.56,4.99,5.88,576.33,-50.02,83.27,47.16,4.99,800.15,227.35,30.43,3.51,1.36,0.41,3.56,5.88
2018-11-16 00:00:00+00:00,2018-11-16 00:00:00+00:00,0.68,1.59,2.5,373.67,-56.36,74.29,55.24,1.59,345.74,90.04,15.84,3.6,1.5,0.51,0.68,2.5
2018-11-17 00:00:00+00:00,2018-11-17 00:00:00+00:00,0.8,1.37,1.88,1813.67,-49.27,79.89,46.4,1.37,416.72,93.91,10.31,2.12,0.91,0.35,0.8,1.88
2018-11-18 00:00:00+00:00,2018-11-18 00:00:00+00:00,0.89,1.24,1.65,217.67,-50.98,80.18,37.38,1.24,624.47,87.99,9.0,1.69,0.8,0.42,0.89,1.65
2018-11-19 00:00:00+00:00,2018-11-19 00:00:00+00:00,2.13,2.36,2.64,1657.67,-50.24,80.96,38.44,2.35,1014.04,176.71,5.17,1.14,0.63,0.34,2.08,2.64
2018-11-20 00:00:00+00:00,2018-11-20 00:00:00+00:00,0.89,1.57,2.21,1093.67,-49.76,85.89,38.56,1.57,409.33,105.5,11.94,2.53,1.04,0.39,0.89,2.21
2018-11-21 00:00:00+00:00,2018-11-21 00:00:00+00:00,3.32,5.39,7.43,1104.33,-46.31,88.42,42.71,5.39,841.56,229.74,33.93,7.5,3.16,0.79,3.29,7.34
2018-11-22 00:00:00+00:00,2018-11-22 00:00:00+00:00,0.63,3.04,6.63,616.33,-48.62,80.84,29.44,3.04,374.91,89.7,30.69,5.161016949152542,2.159322033898305,0.5622033898305085,0.63,6.63
2018-11-23 11:00:00+00:00,2018-11-23 11:00:00+00:00,4.08,4.37,4.71,22.32,-45.85,69.71,29.62,4.34,1365.06,287.56,7.1,1.75,0.7,0.23,3.97,4.71
2018-11-24 00:00:00+00:00,2018-11-24 00:00:00+00:00,0.21,0.19,0.28,151.0,-50.47,86.09,21.76,0.19,195.96,42.33,3.65,0.63,0.46,0.28,0.21,0.28
2018-11-25 00:00:00+00:00,2018-11-25 00:00:00+00:00,3.46,4.13,4.43,1061.67,-50.69,85.36,26.36,4.09,1105.2,252.15,11.65,2.0,0.54,0.24,3.37,4.43
2018-11-26 00:00:00+00:00,2018-11-26 00:00:00+00:00,0.48,0.91,1.43,723.0,-59.0,81.67,35.78,0.91,308.74,77.69,9.44,1.75,0.86,0.4,0.48,1.43
2018-11-27 00:00:00+00:00,2018-11-27 00:00:00+00:00,1.2,2.3,3.31,853.67,-49.4,86.07,35.56,2.3,506.8,123.65,17.96,4.02,1.66,0.47,1.2,3.31
2018-11-28 00:00:00+00:00,2018-11-28 00:00:00+00:00,3.13,5.36,7.89,2293.67,-51.09,79.13,100.0,5.36,757.08,218.62,34.31,9.72,1.29,0.415,3.13,7.89
